team_rank,player,salary
1,Damian Lillard,24328425.00
2,Allen Crabbe,18500000.00
3,Evan Turner,16393443.00
4,Meyers Leonard,9213484.00
5,Maurice Harkless,8988764.00
6,Al-Farouq Aminu,7680965.00
7,Festus Ezeli,7400000.00
8,Ed Davis,6666667.00
9,C.J. McCollum,3219579.00
10,Noah Vonleh,2751360.00
11,Anderson Varejao,1984005.00
12,Jusuf Nurkic,1921320.00
13,Shabazz Napier,1350120.00
14,Pat Connaughton,874636.00
15,Jake Layman,600000.00
