team_rank,player,salary
1,James Harden,26540100.00
2,Ryan Anderson,18735364.00
3,Eric Gordon,12385364.00
4,Trevor Ariza,7806971.00
5,Nene Hilario,2898000.00
6,Marcelo Huertas,1500000.00
7,Clint Capela,1296240.00
8,Pablo Prigioni,1050961.00
9,Bobby Brown,934293.00
10,Chinanu Onuaku,543471.00
11,Gary Payton,543471.00
12,Isaiah Taylor,305000.00
13,Troy Williams,181969.00
14,P.J. Hairston,11534.00
