team_rank,player,salary
1,Gordon Hayward,16073140.00
2,Derrick Favors,11050000.00
3,Joe Johnson,11000000.00
4,Alec Burks,10154495.00
5,George Hill,8000000.00
6,Boris Diaw,7000000.00
7,Dante Exum,3940320.00
8,Shelvin Mack,2433334.00
9,Trey Lyles,2340600.00
10,Joe Ingles,2250000.00
11,Rudy Gobert,2121288.00
12,Rodney Hood,1406520.00
13,Jeff Withey,1015696.00
14,Raul Neto,937800.00
15,Joel Bolomboy,600000.00
16,Marcus Paige,125000.00
17,Quincy Ford,75000.00
18,Henry Sims,75000.00
